,data
0,0.20623042375410616
1,1.8767399296458713
2,2.5995061063898355
3,0.29883540486274596
4,1.4101460432849633
5,3.499202456137234
6,1.4935300003087715
7,2.2453322826753537
8,2.023832718386176
9,2.2590608659096096
10,3.198839932647748
11,2.1557475615484956
12,2.045259371715827
13,2.2887772273562366
14,2.560166281983208
15,2.531684615648949
16,1.7253410104115348
17,2.890623939981318
18,1.1283463116219452
19,2.210568852177113
20,3.0438923708727446
21,1.401673732988664
22,1.741337533160527
23,2.289815918757756
24,1.4838290874447089
25,2.8280302740707777
26,1.641127023549782
27,1.0667440141238678
28,1.9668123347897593
29,1.7560385004779844
