,data
0,0.08575035903893902
1,2.055715331333239
2,2.0444971075613245
3,1.313888256873934
4,1.5718612166333537
5,0.21600246178804383
6,2.0935554923685165
7,1.0451034870304408
8,2.564736897190965
9,3.4863935806137887
10,2.078639134956265
11,2.9184039762807714
12,1.3094868973389073
13,2.9088474952658863
14,2.2895029244677754
15,1.17778713198657
16,0.5856698416055408
17,1.9030879376184442
18,2.4845912847408727
19,3.575166495452081
20,2.018707346731906
21,2.3215218955060934
22,3.1220725898971553
23,1.12305234522406
24,2.0216330965643516
25,1.6076544103815218
26,1.4297463451211008
27,0.3774640685012063
28,2.9952993512127497
29,2.030034080983301
