,data
0,1.8420232258750238
1,1.7744685665149817
2,1.6786488984476426
3,1.5772567713032477
4,1.6247362765576054
5,2.223152743307571
6,1.014747091506056
7,1.5756450747517052
8,1.075159384598782
9,3.1546560704282647
10,1.8156175783609676
11,1.88848284697947
12,1.4089626948503353
13,1.6384886558845146
14,0.9992996925873742
15,0.6053967231025437
16,2.1612505537253917
17,2.1632004805931646
18,1.25278204664334
19,2.011612924149361
20,1.0304594100933708
21,2.1894644539168793
22,1.0628227609246768
23,1.5190803805267816
24,1.733850374864706
25,2.0787095454172304
26,1.6919353437951021
27,2.083863943652325
28,2.197230398625838
29,0.7348835333754828
